id,description,name,url
1,Přední výrobce grafických procesorů a specializovaného AI hardwaru pro profesionální i herní využití.,NVIDIA,https://www.nvidia.com
2,"Společnost vyrábějící výkonné procesory a grafické karty pro stolní počítače, servery a herní systémy.",AMD,https://www.amd.com
3,"Globální lídr v oblasti vývoje procesorů, čipových sad a moderních technologií pro osobní i firemní počítače.",Intel,https://www.intel.com
4,"Zavedená značka známá výrobou základních desek, notebooků, herního příslušenství a komponent nejvyšší kvality.",ASUS,https://www.asus.com
5,"Výrobce spolehlivých základních desek, grafických karet a dalších PC komponent pro náročné uživatele.",Gigabyte,https://www.gigabyte.com
6,"Specialista na herní notebooky, základní desky a výkonné grafické karty s důrazem na výkon a design.",MSI,https://www.msi.com
7,"Americká značka nabízející špičkové paměti RAM, napájecí zdroje, chladiče a počítačové příslušenství.",Corsair,https://www.corsair.com
8,"Zaměřuje se na inovativní řešení chlazení, kvalitní PC skříně a příslušenství pro náročné stavitele PC.",Cooler Master,https://www.coolermaster.com
9,"Významný výrobce pevných disků a SSD úložišť pro osobní, podnikové i datové centrum použití.",Western Digital,https://www.westerndigital.com
10,"Technologická společnost zaměřená na datová úložiště, disky a řešení pro efektivní správu dat.",Seagate,https://www.seagate.com
